str_idx,chunk_id,chunk,processed_chunk
CHAPTER ONE,0,"Mr. and Mrs. Dursley, of number four, Privet Drive, were proud to say that they were perfectly normal, thank you very much. They were the last people you'd expect to be involved in anything strange or mysterious, because they just didn't hold with such nonsense.

Mr. Dursley was the director of a firm called Grunnings, which made drills. He was a big, beefy man with hardly any neck, although he did have a very large mustache. Mrs. Dursley was thin and blonde and had nearly twice the usual amount of neck, which came in very useful as she spent so much of her time craning over garden fences, spying on the neighbors. The Dursleys had a small son called Dudley and in their opinion there was no finer boy anywhere.","mr . and mrs . dursley , of number four , privet drive , be proud to say that they be perfectly normal , thank you very much . they be the last people you d expect to be involve in anything strange or mysterious , because they just do not hold with such nonsense . mr . dursley be the director of a firm call grunning , which make drill . he be a big , beefy man with hardly any neck , although he do have a very large mustache . mrs . dursley be thin and blonde and have nearly twice the usual amount of neck , which come in very useful as she spend so much of her time crane over garden fence , spy on the neighbor . the dursley have a small son call dudley and in their opinion there be no fine boy anywhere ."
CHAPTER ONE,1,"The Dursleys had everything they wanted, but they also had a secret, and their greatest fear was that somebody would discover it. They didn't think they could bear it if anyone found out about the Potters. Mrs. Potter was Mrs. Dursley's sister, but they hadn't met for several years; in fact, Mrs. Dursley pretended she didn't have a sister, because her sister and her good-for-nothing husband were as unDursleyish as it was possible to be. The Dursleys shuddered to think what the neighbors would say if the Potters arrived in the street. The Dursleys knew that the Potters had a small son, too, but they had never even seen him. This boy was another good reason for keeping the Potters away; they didn't want Dudley mixing with a child like that.","the dursley have everything they want , but they also have a secret , and their great fear be that somebody would discover it . they do not think they could bear it if anyone find out about the potter . mrs . potter be mrs . dursleys sister , but they have not meet for several year in fact , mrs . dursley pretend she do not have a sister , because her sister and her goodfornothe husband be as undursleyish as it be possible to be . the dursley shudder to think what the neighbor would say if the potter arrive in the street . the dursley know that the potter have a small son , too , but they have never even see he . this boy be another good reason for keep the potter away they do not want dudley mix with a child like that ."
CHAPTER ONE,2,"When Mr. and Mrs. Dursley woke up on the dull, gray Tuesday our story starts, there was nothing about the cloudy sky outside to suggest that strange and mysterious things would soon be happening all over the country. Mr. Dursley hummed as he picked out his most boring tie for work, and Mrs. Dursley gossiped away happily as she wrestled a screaming Dudley into his high chair.

None of them noticed a large, tawny owl flutter past the window.

At half past eight, Mr. Dursley picked up his briefcase, pecked Mrs. Dursley on the cheek, and tried to kiss Dudley good-bye but missed, because Dudley was now having a tantrum and throwing his cereal at the walls. ""Little tyke,"" chortled Mr. Dursley as he left the house. He got into his car and backed out of number four's drive.","when mr . and mrs . dursley wake up on the dull , gray tuesday our story start , there be nothing about the cloudy sky outside to suggest that strange and mysterious thing would soon be happen all over the country . mr . dursley hum as he pick out his most boring tie for work , and mrs . dursley gossip away happily as she wrestle a scream dudley into his high chair . none of they notice a large , tawny owl flutter past the window . at half past eight , mr . dursley pick up his briefcase , pecked mrs . dursley on the cheek , and try to kiss dudley goodbye but miss , because dudley be now have a tantrum and throw his cereal at the wall . little tyke , chortle mr . dursley as he leave the house . he get into his car and back out of number four drive ."
CHAPTER ONE,3,"It was on the corner of the street that he noticed the first sign of something peculiar -- a cat reading a map. For a second, Mr. Dursley didn't realize what he had seen -- then he jerked his head around to look again. There was a tabby cat standing on the corner of Privet Drive, but there wasn't a map in sight. What could he have been thinking of? It must have been a trick of the light. Mr. Dursley blinked and stared at the cat. It stared back. As Mr. Dursley drove around the corner and up the road, he watched the cat in his mirror. It was now reading the sign that said Privet Drive -- no, looking at the sign; cats couldn't read maps or signs. Mr. Dursley gave himself a little shake and put the cat out of his mind. As he drove toward town he thought of nothing except a large order of drills he was hoping to get that day.","it be on the corner of the street that he notice the first sign of something peculiar a cat read a map . for a second , mr . dursley do not realize what he have see then he jerk his head around to look again . there be a tabby cat stand on the corner of privet drive , but there be not a map in sight . what could he have be think of ? it must have be a trick of the light . mr . dursley blink and stare at the cat . it stare back . as mr . dursley drive around the corner and up the road , he watch the cat in his mirror . it be now read the sign that say privet drive no , look at the sign cat could not read map or sign . mr . dursley give himself a little shake and put the cat out of his mind . as he drive toward town he think of nothing except a large order of drill he be hope to get that day ."
CHAPTER ONE,4,"But on the edge of town, drills were driven out of his mind by something else. As he sat in the usual morning traffic jam, he couldn't help noticing that there seemed to be a lot of strangely dressed people about. People in cloaks. Mr. Dursley couldn't bear people who dressed in funny clothes -- the getups you saw on young people! He supposed this was some stupid new fashion. He drummed his fingers on the steering wheel and his eyes fell on a huddle of these weirdos standing quite close by. They were whispering excitedly together. Mr. Dursley was enraged to see that a couple of them weren't young at all; why, that man had to be older than he was, and wearing an emerald-green cloak! The nerve of him! But then it struck Mr. Dursley that this was probably some silly stunt -- these people were obviously collecting for something... yes, that would be it. The traffic moved on and a few minutes later, Mr. Dursley arrived in the Grunnings parking lot, his mind back on drills.","but on the edge of town , drill be drive out of his mind by something else . as he sit in the usual morning traffic jam , he could not help notice that there seem to be a lot of strangely dress people about . people in cloak . mr . dursley could not bear people who dress in funny clothe the getup you see on young people ! he suppose this be some stupid new fashion . he drum his finger on the steering wheel and his eye fall on a huddle of these weirdo stand quite close by . they be whisper excitedly together . mr . dursley be enrage to see that a couple of they be not young at all why , that man have to be old than he be , and wear an emeraldgreen cloak ! the nerve of he ! but then it strike mr . dursley that this be probably some silly stunt these people be obviously collect for something ... yes , that would be it . the traffic move on and a few minute later , mr . dursley arrive in the grunning parking lot , his mind back on drill ."
CHAPTER ONE,5,"Mr. Dursley always sat with his back to the window in his office on the ninth floor. If he hadn't, he might have found it harder to concentrate on drills that morning. He didn't see the owls swoop ing past in broad daylight, though people down in the street did; they pointed and gazed open- mouthed as owl after owl sped overhead. Most of them had never seen an owl even at nighttime. Mr. Dursley, however, had a perfectly normal, owl-free morning. He yelled at five different people. He made several important telephone calls and shouted a bit more. He was in a very good mood until lunchtime, when he thought he'd stretch his legs and walk across the road to buy himself a bun from the bakery.","mr . dursley always sit with his back to the window in his office on the ninth floor . if he have not , he might have find it hard to concentrate on drill that morning . he do not see the owl swoop ing past in broad daylight , though people down in the street do they point and gaze open mouthed as owl after owl speed overhead . most of they have never see an owl even at nighttime . mr . dursley , however , have a perfectly normal , owlfree morning . he yell at five different people . he make several important telephone call and shout a bit more . he be in a very good mood until lunchtime , when he think he d stretch his leg and walk across the road to buy himself a bun from the bakery ."
CHAPTER ONE,6,"He'd forgotten all about the people in cloaks until he passed a group of them next to the baker's. He eyed them angrily as he passed. He didn't know why, but they made him uneasy. This bunch were whispering excitedly, too, and he couldn't see a single collecting tin. It was on his way back past them, clutching a large doughnut in a bag, that he caught a few words of what they were saying.

""The Potters, that's right, that's what I heard yes, their son, Harry""

Mr. Dursley stopped dead. Fear flooded him. He looked back at the whisperers as if he wanted to say something to them, but thought better of it.","he d forget all about the people in cloak until he pass a group of they next to the baker . he eye they angrily as he pass . he do not know why , but they make he uneasy . this bunch be whisper excitedly , too , and he could not see a single collect tin . it be on his way back past they , clutch a large doughnut in a bag , that he catch a few word of what they be say . the potter , that s right , that s what I hear yes , their son , harry mr . dursley stop dead . fear flood he . he look back at the whisperer as if he want to say something to they , but think well of it ."
CHAPTER ONE,7,"He dashed back across the road, hurried up to his office, snapped at his secretary not to disturb him, seized his telephone, and had almost finished dialing his home number when he changed his mind. He put the receiver back down and stroked his mustache, thinking... no, he was being stupid. Potter wasn't such an unusual name. He was sure there were lots of people called Potter who had a son called Harry. Come to think of it, he wasn't even sure his nephew was called Harry. He'd never even seen the boy. It might have been Harvey. Or Harold. There was no point in worrying Mrs. Dursley; she always got so upset at any mention of her sister. He didn't blame her -- if he'd had a sister like that... but all the same, those people in cloaks...

He found it a lot harder to concentrate on drills that afternoon and when he left the building at five o'clock, he was still so worried that he walked straight into someone just outside the door.","he dash back across the road , hurry up to his office , snap at his secretary not to disturb he , seize his telephone , and have almost finish dial his home number when he change his mind . he put the receiver back down and stroke his mustache , think ... no , he be be stupid . potter be not such an unusual name . he be sure there be lot of people call potter who have a son call harry . come to think of it , he be not even sure his nephew be call harry . he d never even see the boy . it might have be harvey . or harold . there be no point in worry mrs . dursley she always get so upset at any mention of her sister . he do not blame she if he d have a sister like that ... but all the same , those people in cloak ... he find it a lot hard to concentrate on drill that afternoon and when he leave the building at five oclock , he be still so worried that he walk straight into someone just outside the door ."
CHAPTER ONE,8,"""Sorry,"" he grunted, as the tiny old man stumbled and almost fell. It was a few seconds before Mr. Dursley realized that the man was wearing a violet cloak. He didn't seem at all upset at being almost knocked to the ground. On the contrary, his face split into a wide smile and he said in a squeaky voice that made passersby stare, ""Don't be sorry, my dear sir, for nothing could upset me today! Rejoice, for You-Know-Who has gone at last! Even Muggles like yourself should be celebrating, this happy, happy day!""

And the old man hugged Mr. Dursley around the middle and walked off.

Mr. Dursley stood rooted to the spot. He had been hugged by a complete stranger. He also thought he had been called a Muggle, whatever that was. He was rattled. He hurried to his car and set off for home, hoping he was imagining things, which he had never hoped before, because he didn't approve of imagination.","sorry , he grunt , as the tiny old man stumble and almost fall . it be a few second before mr . dursley realize that the man be wear a violet cloak . he do not seem at all upset at be almost knock to the ground . on the contrary , his face split into a wide smile and he say in a squeaky voice that make passersby stare , do not be sorry , my dear sir , for nothing could upset I today ! rejoice , for youknowwho have go at last ! even muggle like yourself should be celebrate , this happy , happy day ! and the old man hug mr . dursley around the middle and walk off . mr . dursley stand root to the spot . he have be hug by a complete stranger . he also think he have be call a muggle , whatever that be . he be rattle . he hurry to his car and set off for home , hope he be imagine thing , which he have never hope before , because he do not approve of imagination ."
CHAPTER ONE,9,"As he pulled into the driveway of number four, the first thing he saw -- and it didn't improve his mood -- was the tabby cat he'd spotted that morning. It was now sitting on his garden wall. He was sure it was the same one; it had the same markings around its eyes.

""Shoo!"" said Mr. Dursley loudly. The cat didn't move. It just gave him a stern look. Was this normal cat behavior? Mr. Dursley wondered. Trying to pull himself together, he let himself into the house. He was still determined not to mention anything to his wife.

Mrs. Dursley had had a nice, normal day. She told him over dinner all about Mrs. Next Door's problems with her daughter and how Dudley had learned a new word (""Won't!""). Mr. Dursley tried to act normally. When Dudley had been put to bed, he went into the living room in time to catch the last report on the evening news:","as he pull into the driveway of number four , the first thing he see and it do not improve his mood be the tabby cat he d spot that morning . it be now sit on his garden wall . he be sure it be the same one it have the same marking around its eye . shoo ! say mr . dursley loudly . the cat do not move . it just give he a stern look . be this normal cat behavior ? mr . dursley wonder . try to pull himself together , he let himself into the house . he be still determined not to mention anything to his wife . mrs . dursley have have a nice , normal day . she tell he over dinner all about mrs . next door problem with her daughter and how dudley have learn a new word will not ! . mr . dursley try to act normally . when dudley have be put to bed , he go into the living room in time to catch the last report on the evening news"
